"SourceComputername","SourceRegion","Minimum","Average","Maximum","TotalTime","Region","Record_date"
"Jerrywolff-MS-Lenovo","westus","76","86.6","431","00:00:04.4278127","eastus","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","89","99.74","472","00:00:05.0867112","eastus2","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","71","80.88","405","00:00:04.1375233","southcentralus","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","167","184.08","790","00:00:09.2717972","australiaeast","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","175","198.92","1204","00:00:10.0154180","southeastasia","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","150","167.7","826","00:00:08.4839246","northeurope","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","150","167.7","826","00:00:08.4839246","northeurope","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","156","170.62","746","00:00:08.5980868","uksouth","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","161","176.68","766","00:00:08.9174404","westeurope","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","52","60.32","273","00:00:03.3520578","centralus","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","334","359.38","1452","00:00:18.0507031","southafricanorth","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","227","247.96","1054","00:00:12.5529395","centralindia","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","150","163.58","720","00:00:08.2624367","eastasia","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","112","127.28","587","00:00:06.4381686","japaneast","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","128","141.82","644","00:00:07.1683516","koreacentral","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","80","89.98","448","00:00:04.5758318","canadacentral","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","164","188.02","779","00:00:09.4777468","francecentral","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","164","188.02","779","00:00:09.4777468","francecentral","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","164","188.02","779","00:00:09.4777468","francecentral","13 January 2023"
"Jerrywolff-MS-Lenovo","westus","164","188.02","779","00:00:09.4777468","francecentral","13 January 2023"
